D = 10;
n = [ 3 4 1 2 2 2 1 1 2 4 ];

N = 50;
d = [ 1 1 1 1 1 2 2 2 2 2 3 3 3 3 3 4 4 4 4 4 5 5 5 5 5 6 6 6 6 6 7 7 7 7 7 8 8 8 8 8 9 9 9 9 9 10 10 10 10 10 ];

m = [
    [ 1.00 0.24 0.35 0.53 0.62 0.49 0.62 0.52 0.34 0.48 0.48 0.47 0.40 0.53 0.49 0.50 0.34 0.46 0.31 0.58 0.26 0.49 0.52 0.53 0.37 0.35 0.77 0.47 0.59 0.31 0.37 0.31 0.26 0.45 0.59 0.68 0.40 0.29 0.31 0.19 0.27 0.87 0.64 0.33 0.69 0.48 0.63 0.60 0.52 0.26 ]
    [ 0.24 1.00 0.53 0.25 0.33 0.38 0.45 0.37 0.33 0.42 0.49 0.39 0.55 0.41 0.43 0.35 0.65 0.52 0.52 0.56 0.69 0.56 0.40 0.33 0.47 0.62 0.59 0.56 0.48 0.50 0.30 0.58 0.23 0.53 0.52 0.38 0.91 0.63 0.42 0.25 0.51 0.63 0.38 0.89 0.39 0.35 0.42 0.39 0.48 0.44 ]
    [ 0.35 0.53 1.00 0.57 0.70 0.27 0.73 0.48 0.52 0.47 0.55 0.46 0.55 0.41 0.48 0.37 0.44 0.50 0.56 0.48 0.60 0.31 0.61 0.60 0.28 0.48 0.47 0.42 0.60 0.55 0.59 0.28 0.54 0.54 0.49 0.52 0.40 0.50 0.44 0.84 0.46 0.41 0.57 0.41 0.66 0.60 0.42 0.60 0.32 0.83 ]
    [ 0.53 0.25 0.57 1.00 0.44 0.67 0.51 0.56 0.53 0.35 0.62 0.37 0.47 0.55 0.53 0.48 0.55 0.41 0.59 0.50 0.29 0.66 0.22 0.88 0.52 0.72 0.70 0.44 0.49 0.28 0.52 0.57 0.75 0.36 0.36 0.48 0.67 0.39 0.30 0.62 0.37 0.67 0.59 0.30 0.43 0.66 0.11 0.51 0.70 0.61 ]
    [ 0.62 0.33 0.70 0.44 1.00 0.37 0.67 0.68 0.84 0.49 0.81 0.70 0.41 0.87 0.59 0.71 0.39 0.35 0.26 0.41 0.30 0.56 0.78 0.45 0.38 0.60 0.50 0.51 0.52 0.25 0.20 0.48 0.57 0.64 0.30 0.39 0.53 0.43 0.30 0.15 0.44 0.59 0.57 0.69 0.20 0.32 0.72 0.58 0.61 0.52 ]
    [ 0.49 0.38 0.27 0.67 0.37 1.00 0.80 0.61 0.36 0.59 0.32 0.52 0.71 0.59 0.68 0.41 0.40 0.48 0.37 0.61 0.36 0.24 0.47 0.46 0.36 0.60 0.46 0.58 0.54 0.68 0.41 0.74 0.69 0.59 0.70 0.58 0.47 0.51 0.56 0.44 0.16 0.39 0.45 0.31 0.33 0.46 0.70 0.49 0.66 0.23 ]
    [ 0.62 0.45 0.73 0.51 0.67 0.80 1.00 0.87 0.51 0.30 0.56 0.29 0.50 0.57 0.06 0.39 0.52 0.30 0.55 0.34 0.44 0.71 0.50 0.53 0.56 0.62 0.19 0.56 0.48 0.75 0.60 0.56 0.51 0.56 0.40 0.39 0.56 0.72 0.46 0.47 0.62 0.54 0.45 0.54 0.52 0.26 0.66 0.54 0.73 0.64 ]
    [ 0.52 0.37 0.48 0.56 0.68 0.61 0.87 1.00 0.67 0.66 0.70 0.43 0.63 0.71 0.41 0.54 0.39 0.52 0.49 0.65 0.69 0.68 0.52 0.47 0.57 0.51 0.35 0.36 0.50 0.78 0.91 0.40 0.53 0.34 0.46 0.63 0.54 0.71 0.42 0.34 0.59 0.71 0.67 0.40 0.55 0.51 0.67 0.36 0.60 0.61 ]
    [ 0.34 0.33 0.52 0.53 0.84 0.36 0.51 0.67 1.00 0.69 0.58 0.93 0.52 0.20 0.23 0.40 0.65 0.44 0.32 0.73 0.72 0.61 0.18 0.84 0.28 0.61 0.70 0.58 0.46 0.22 0.58 0.57 0.52 0.61 0.63 0.40 0.49 0.38 0.54 0.60 0.65 0.69 0.34 0.54 0.75 0.66 0.80 0.52 0.42 0.36 ]
    [ 0.48 0.42 0.47 0.35 0.49 0.59 0.30 0.66 0.69 1.00 0.60 0.63 0.48 0.61 0.46 0.53 0.52 0.40 0.33 0.73 0.67 0.97 0.54 0.54 0.10 0.36 0.35 0.18 0.35 0.67 0.46 0.40 0.33 0.61 0.59 0.52 0.75 0.46 0.69 0.53 0.41 0.44 0.61 0.49 0.53 0.44 0.63 0.57 0.54 0.44 ]
    [ 0.48 0.49 0.55 0.62 0.81 0.32 0.56 0.70 0.58 0.60 1.00 0.65 0.49 0.64 0.78 0.56 0.53 0.61 0.85 0.38 0.37 0.47 0.29 0.80 0.42 0.51 0.30 0.71 0.37 0.71 0.68 0.53 0.26 0.59 0.38 0.63 0.59 0.57 0.77 0.53 0.49 0.39 0.62 0.76 0.47 0.42 0.66 0.47 0.66 0.28 ]
    [ 0.47 0.39 0.46 0.37 0.70 0.52 0.29 0.43 0.93 0.63 0.65 1.00 0.40 0.51 0.35 0.45 0.52 0.53 0.44 0.40 0.62 0.32 0.55 0.72 0.66 0.58 0.62 0.50 0.44 0.67 0.33 0.51 0.55 0.51 0.79 0.57 0.54 0.51 0.68 0.43 0.62 0.37 0.62 0.37 0.51 0.63 0.42 0.44 0.71 0.24 ]
    [ 0.40 0.55 0.55 0.47 0.41 0.71 0.50 0.63 0.52 0.48 0.49 0.40 1.00 0.55 0.27 0.56 0.66 0.65 0.31 0.25 0.57 0.32 0.37 0.68 0.55 0.61 0.57 0.58 0.65 0.46 0.46 0.42 0.16 0.55 0.73 0.76 0.40 0.57 0.66 0.49 0.30 0.57 0.23 0.50 0.27 0.52 0.55 0.26 0.61 0.42 ]
    [ 0.53 0.41 0.41 0.55 0.87 0.59 0.57 0.71 0.20 0.61 0.64 0.51 0.55 1.00 0.59 0.67 0.62 0.36 0.42 0.52 0.55 0.64 0.51 0.54 0.66 0.43 0.45 0.32 0.50 0.66 0.48 0.55 0.51 0.63 0.30 0.39 0.40 0.21 0.59 0.53 0.64 0.66 0.35 0.44 0.65 0.58 0.52 0.65 0.26 0.48 ]
    [ 0.49 0.43 0.48 0.53 0.59 0.68 0.06 0.41 0.23 0.46 0.78 0.35 0.27 0.59 1.00 0.70 0.61 0.51 0.52 0.39 0.49 0.61 0.31 0.57 0.35 0.55 0.59 0.58 0.72 0.71 0.25 0.68 0.42 0.16 0.58 0.57 0.67 0.52 0.50 0.59 0.94 0.40 0.59 0.53 0.33 0.47 0.40 0.49 0.69 0.32 ]
    [ 0.50 0.35 0.37 0.48 0.71 0.41 0.39 0.54 0.40 0.53 0.56 0.45 0.56 0.67 0.70 1.00 0.60 0.53 0.48 0.58 0.61 0.78 0.48 0.35 0.42 0.31 0.59 0.45 0.17 0.17 0.56 0.26 0.42 0.24 0.30 0.32 0.35 0.47 0.16 0.48 0.60 0.34 0.57 0.42 0.51 0.61 0.54 0.47 0.28 0.23 ]
