D = 9;
n = [ 3 2 2 1 4 2 2 3 3 ];

N = 40;
d = [ 1 1 1 1 2 2 2 2 3 3 3 3 4 4 4 4 5 5 5 5 5 6 6 6 6 6 7 7 7 7 8 8 8 8 8 9 9 9 9 9 ];

m = [
    [ 1.00 0.37 0.46 0.47 0.59 0.59 0.56 0.51 0.58 0.52 0.49 0.67 0.45 0.67 0.40 0.58 0.77 0.00 0.50 0.36 0.39 0.58 0.35 0.47 0.39 0.49 0.35 0.56 0.64 0.27 0.58 0.52 0.34 0.46 0.50 0.68 0.53 0.31 0.29 0.75 ]
    [ 0.37 1.00 0.52 0.62 0.22 0.49 0.53 0.68 0.07 0.43 0.58 0.61 0.42 0.49 0.42 0.54 0.32 0.33 0.36 0.37 0.60 0.52 0.63 0.32 0.71 0.35 0.51 0.55 0.59 0.56 0.47 0.36 0.66 0.60 0.48 0.39 0.33 0.50 0.73 0.46 ]
    [ 0.46 0.52 1.00 0.77 0.45 0.40 0.36 0.49 0.63 0.65 0.64 0.52 0.52 0.29 0.86 0.58 0.46 0.59 0.79 0.59 0.52 0.41 0.50 0.38 0.54 0.55 0.51 0.40 0.31 0.56 0.44 0.30 0.66 0.69 0.41 0.28 0.59 0.30 0.64 0.60 ]
    [ 0.47 0.62 0.77 1.00 0.73 0.62 0.25 0.10 0.58 0.46 0.47 0.27 0.66 0.52 0.58 0.32 0.23 0.33 0.20 0.34 0.43 0.46 0.59 0.43 0.67 0.35 0.63 0.76 0.37 0.67 0.38 0.52 0.50 0.77 0.45 0.40 0.31 0.24 0.39 0.57 ]
    [ 0.59 0.22 0.45 0.73 1.00 0.41 0.33 0.43 0.62 0.59 0.55 0.34 0.57 0.53 0.58 0.39 0.45 0.30 0.44 0.18 0.29 0.30 0.41 0.45 0.66 0.62 0.43 0.71 0.63 0.58 0.55 0.90 0.54 0.52 0.71 0.37 0.42 0.15 0.38 0.45 ]
    [ 0.59 0.49 0.40 0.62 0.41 1.00 0.41 0.63 0.51 0.37 0.63 0.50 0.41 0.70 0.65 0.55 0.52 0.55 0.43 0.52 0.46 0.64 0.40 0.50 0.55 0.48 0.45 0.42 0.48 0.39 0.58 0.45 0.98 0.43 0.71 0.45 0.36 0.43 0.62 0.10 ]
    [ 0.56 0.53 0.36 0.25 0.33 0.41 1.00 0.26 0.22 0.40 0.50 0.58 0.67 0.44 0.49 0.60 0.35 0.42 0.63 0.25 0.45 0.68 0.18 1.00 0.69 0.37 0.41 0.62 0.63 0.44 0.81 0.53 0.35 0.52 0.42 0.41 0.44 0.13 0.50 0.39 ]
    [ 0.51 0.68 0.49 0.10 0.43 0.63 0.26 1.00 0.47 0.54 0.49 0.61 0.59 0.54 0.41 0.86 0.31 0.53 0.58 0.52 0.31 0.37 0.45 0.46 0.31 0.43 0.40 0.21 0.54 0.65 0.60 0.61 0.51 0.44 0.54 0.47 0.78 0.36 0.15 0.24 ]
    [ 0.58 0.07 0.63 0.58 0.62 0.51 0.22 0.47 1.00 0.25 0.30 0.91 0.57 0.16 0.45 0.65 0.41 0.39 0.33 0.75 0.55 0.52 0.39 0.38 0.47 0.82 0.74 0.61 0.55 0.62 0.65 0.52 0.42 0.48 0.46 0.45 0.39 0.38 0.43 0.59 ]
    [ 0.52 0.43 0.65 0.46 0.59 0.37 0.40 0.54 0.25 1.00 0.44 0.40 0.20 0.55 0.71 0.63 0.47 0.50 0.21 0.62 0.52 0.64 0.28 0.52 0.53 0.31 0.56 0.44 0.25 0.56 0.55 0.70 0.38 0.22 0.25 0.56 0.60 0.45 0.45 0.48 ]
