D = 21;
n = [ 2 1 2 1 3 1 5 2 1 3 3 3 1 2 2 5 1 1 2 2 2 ];

N = 50;
d = [ 1 1 2 3 3 4 5 5 5 5 6 7 7 7 7 7 8 8 9 10 10 10 11 11 11 12 12 12 13 14 14 15 15 16 16 16 16 16 16 16 17 18 19 19 19 20 20 21 21 21 ];

m = [
    [ 1.00 0.58 0.60 0.23 0.51 0.81 0.41 0.54 0.60 0.43 0.87 0.31 0.55 0.82 0.21 0.61 0.67 0.42 0.80 0.38 0.63 0.72 0.81 0.34 0.52 0.09 0.49 0.07 0.34 0.59 0.61 0.74 0.62 0.62 0.50 0.54 0.59 0.44 0.77 0.64 0.90 0.23 0.39 0.82 0.80 0.49 0.36 0.64 0.76 0.48 ]
    [ 0.58 1.00 0.60 0.22 0.11 0.35 0.62 0.26 0.56 0.49 0.56 0.20 0.56 0.63 0.13 0.42 0.51 0.26 0.70 0.37 0.43 0.70 0.78 0.68 0.38 0.48 0.42 0.33 0.46 0.34 0.76 0.48 0.34 0.21 0.55 0.49 0.37 0.26 0.55 0.38 0.43 0.61 0.52 0.51 0.55 0.49 0.41 0.39 0.47 0.33 ]
    [ 0.60 0.60 1.00 0.57 0.88 0.56 0.48 0.80 0.18 0.34 0.74 0.84 0.57 0.67 0.42 0.45 0.43 0.44 0.58 0.34 0.47 0.17 0.07 0.90 0.39 0.16 0.65 0.12 0.57 0.74 0.69 0.35 0.52 0.45 0.57 0.78 0.17 0.54 0.34 0.40 0.54 0.47 0.60 0.41 0.61 0.52 0.15 0.23 0.11 0.78 ]
    [ 0.23 0.22 0.57 1.00 0.80 0.10 0.39 0.68 0.41 0.95 0.38 0.53 0.69 0.78 0.61 0.41 0.68 0.63 0.69 0.04 0.81 0.04 0.57 0.64 0.52 0.53 0.48 0.19 0.53 0.41 0.25 0.42 0.32 0.77 0.44 0.85 0.34 0.74 0.51 0.33 0.90 0.63 0.49 0.54 0.30 0.38 0.56 0.58 0.49 0.48 ]
    [ 0.51 0.11 0.88 0.80 1.00 0.56 0.19 0.63 0.96 0.17 0.66 0.49 0.48 0.71 0.81 0.50 0.60 0.38 0.56 0.22 0.59 0.49 0.33 0.48 0.50 0.48 0.86 0.40 0.22 0.45 0.63 0.18 0.48 0.54 0.77 0.39 0.17 0.36 0.80 0.68 0.88 0.34 0.30 0.76 0.53 0.47 0.61 0.14 0.59 0.20 ]
    [ 0.81 0.35 0.56 0.10 0.56 1.00 0.58 0.33 0.55 0.14 0.05 0.47 0.68 0.14 0.18 0.32 0.14 0.52 0.18 0.34 0.77 0.60 0.83 0.62 0.30 0.65 0.34 0.51 0.54 0.31 0.51 0.54 0.28 0.26 0.36 0.09 0.83 0.07 0.72 0.27 0.60 0.49 0.57 0.17 0.68 0.76 0.80 0.41 0.49 0.59 ]
    [ 0.41 0.62 0.48 0.39 0.19 0.58 1.00 0.48 0.74 0.27 0.36 0.31 0.43 0.56 0.59 0.61 0.07 0.76 0.24 0.41 0.32 0.33 0.36 0.36 0.80 0.54 0.50 0.54 0.56 0.45 0.58 0.87 0.53 0.07 0.71 0.19 0.53 0.43 0.84 0.52 0.36 0.75 0.14 0.46 0.53 0.56 0.11 0.56 0.46 0.43 ]
    [ 0.54 0.26 0.80 0.68 0.63 0.33 0.48 1.00 0.36 0.65 0.40 0.40 0.35 0.34 0.51 0.56 0.51 0.32 0.48 0.49 0.69 0.68 0.25 0.62 0.54 0.26 0.53 0.95 0.40 0.39 0.25 0.42 0.50 0.60 0.79 0.42 0.79 0.51 0.40 0.33 0.54 0.47 0.32 0.94 0.04 0.69 0.32 0.30 0.75 0.43 ]
    [ 0.60 0.56 0.18 0.41 0.96 0.55 0.74 0.36 1.00 0.38 0.31 0.76 0.73 0.19 0.65 0.48 0.34 0.45 0.71 0.48 0.49 0.79 0.64 0.59 0.45 0.91 0.73 0.59 0.59 0.64 0.24 0.28 0.42 0.48 0.40 0.19 0.51 0.34 0.61 0.42 0.40 0.46 0.81 0.85 0.42 0.35 0.11 0.51 0.26 0.58 ]
    [ 0.43 0.49 0.34 0.95 0.17 0.14 0.27 0.65 0.38 1.00 0.52 0.55 0.59 0.40 0.22 0.40 0.79 0.43 0.34 0.54 0.52 0.05 0.61 0.24 0.58 0.69 0.44 0.74 0.19 0.60 0.48 0.55 0.35 0.58 0.54 0.34 0.39 0.69 0.68 0.84 0.54 0.49 0.32 0.23 0.23 0.51 0.25 0.60 0.50 0.21 ]
    [ 0.87 0.56 0.74 0.38 0.66 0.05 0.36 0.40 0.31 0.52 1.00 0.08 0.64 0.74 0.37 0.78 0.53 0.08 0.85 0.23 0.54 0.34 0.60 0.59 0.28 0.40 0.76 0.61 0.70 0.60 0.35 0.45 0.32 0.23 0.76 0.70 0.55 0.40 0.46 0.26 0.21 0.48 0.68 0.47 0.58 0.56 0.44 0.33 0.77 0.92 ]
    [ 0.31 0.20 0.84 0.53 0.49 0.47 0.31 0.40 0.76 0.55 0.08 1.00 0.06 0.58 0.32 0.30 0.46 0.47 0.60 0.32 0.65 0.64 0.57 0.76 0.50 0.24 0.52 0.89 0.51 0.54 0.41 0.41 0.32 0.41 0.72 0.45 0.80 0.68 0.54 0.78 0.24 0.18 0.44 0.26 0.89 0.11 0.52 0.63 0.07 0.66 ]
    [ 0.55 0.56 0.57 0.69 0.48 0.68 0.43 0.35 0.73 0.59 0.64 0.06 1.00 0.32 0.58 0.40 0.42 0.53 0.25 0.42 0.52 0.41 0.49 0.26 0.47 0.86 0.03 0.18 0.63 0.37 0.46 0.55 0.42 0.16 0.71 0.28 0.67 0.71 0.42 0.62 0.27 0.38 0.66 0.77 0.43 0.44 0.29 0.20 0.38 0.65 ]
    [ 0.82 0.63 0.67 0.78 0.71 0.14 0.56 0.34 0.19 0.40 0.74 0.58 0.32 1.00 0.50 0.78 0.74 0.33 0.62 0.51 0.85 0.73 0.27 0.62 0.43 0.40 0.80 0.78 0.09 0.74 0.10 0.33 0.21 0.89 0.24 0.47 0.20 0.62 0.23 0.68 0.30 0.53 0.48 0.42 0.31 0.67 0.77 0.50 0.15 0.79 ]
    [ 0.21 0.13 0.42 0.61 0.81 0.18 0.59 0.51 0.65 0.22 0.37 0.32 0.58 0.50 1.00 0.17 0.63 0.64 0.71 0.12 0.33 0.34 0.26 0.78 0.23 0.56 0.51 0.93 0.47 0.53 0.17 0.36 0.41 0.52 0.79 0.57 0.24 0.40 0.48 0.56 0.40 0.30 0.38 0.49 0.69 0.35 0.79 0.41 0.59 0.58 ]
    [ 0.61 0.42 0.45 0.41 0.50 0.32 0.61 0.56 0.48 0.40 0.78 0.30 0.40 0.78 0.17 1.00 0.74 0.95 0.47 0.28 0.87 0.43 0.61 0.80 0.43 0.27 0.71 0.33 0.35 0.72 0.73 0.46 0.53 0.61 0.43 0.28 0.72 0.28 0.82 0.43 0.72 0.49 0.93 0.81 0.16 0.72 0.56 0.58 0.70 0.61 ]
    [ 0.67 0.51 0.43 0.68 0.60 0.14 0.07 0.51 0.34 0.79 0.53 0.46 0.42 0.74 0.63 0.74 1.00 0.49 0.65 0.52 0.68 0.15 0.34 0.32 0.92 0.32 0.70 0.34 0.74 0.17 0.89 0.74 0.39 0.52 0.46 0.33 0.63 0.38 0.21 0.23 0.56 0.53 0.53 0.47 0.65 0.53 0.77 0.62 0.75 0.58 ]
    [ 0.42 0.26 0.44 0.63 0.38 0.52 0.76 0.32 0.45 0.43 0.08 0.47 0.53 0.33 0.64 0.95 0.49 1.00 0.53 0.36 0.54 0.38 0.56 0.83 0.51 0.32 0.52 0.83 0.18 0.14 0.68 0.56 0.42 0.40 0.10 0.18 0.24 0.39 0.73 0.73 0.57 0.57 0.46 0.45 0.36 0.39 0.67 0.74 0.87 0.45 ]
    [ 0.80 0.70 0.58 0.69 0.56 0.18 0.24 0.48 0.71 0.34 0.85 0.60 0.25 0.62 0.71 0.47 0.65 0.53 1.00 0.59 0.35 0.67 0.50 0.50 0.44 0.68 0.23 0.41 0.40 0.32 0.69 0.45 0.41 0.35 0.54 0.36 0.14 0.40 0.35 0.42 0.51 0.55 0.61 0.20 0.73 0.71 0.68 0.22 0.21 0.43 ]
    [ 0.38 0.37 0.34 0.04 0.22 0.34 0.41 0.49 0.48 0.54 0.23 0.32 0.42 0.51 0.12 0.28 0.52 0.36 0.59 1.00 0.39 0.79 0.40 0.29 0.51 0.28 0.32 0.49 0.68 0.53 0.80 0.62 0.36 0.62 0.58 0.65 0.70 0.48 0.49 0.34 0.30 0.63 0.41 0.80 0.74 0.78 0.72 0.62 0.46 0.35 ]
    [ 0.63 0.43 0.47 0.81 0.59 0.77 0.32 0.69 0.49 0.52 0.54 0.65 0.52 0.85 0.33 0.87 0.68 0.54 0.35 0.39 1.00 0.39 0.76 0.08 0.58 0.09 0.65 0.21 0.61 0.70 0.44 0.71 0.68 0.27 0.48 0.10 0.32 0.46 0.44 0.26 0.55 0.16 0.21 0.61 0.44 0.08 0.56 0.10 0.69 0.70 ]
    [ 0.72 0.70 0.17 0.04 0.49 0.60 0.33 0.68 0.79 0.05 0.34 0.64 0.41 0.73 0.34 0.43 0.15 0.38 0.67 0.79 0.39 1.00 0.61 0.57 0.18 0.53 0.47 0.24 0.41 0.30 0.51 0.57 0.41 0.37 0.32 0.59 0.49 0.22 0.21 0.71 0.64 0.55 0.44 0.46 0.41 0.56 0.16 0.85 0.45 0.88 ]
    [ 0.81 0.78 0.07 0.57 0.33 0.83 0.36 0.25 0.64 0.61 0.60 0.57 0.49 0.27 0.26 0.61 0.34 0.56 0.50 0.40 0.76 0.61 1.00 0.54 0.53 0.65 0.49 0.30 0.29 0.46 0.59 0.53 0.45 0.76 0.33 0.66 0.63 0.36 0.46 0.18 0.54 0.51 0.69 0.42 0.45 0.18 0.24 0.29 0.36 0.39 ]
    [ 0.34 0.68 0.90 0.64 0.48 0.62 0.36 0.62 0.59 0.24 0.59 0.76 0.26 0.62 0.78 0.80 0.32 0.83 0.50 0.29 0.08 0.57 0.54 1.00 0.47 0.49 0.44 0.52 0.28 0.53 0.43 0.54 0.71 0.54 0.65 0.83 0.59 0.85 0.44 0.39 0.77 0.44 0.41 0.13 0.32 0.71 0.35 0.85 0.40 0.79 ]
    [ 0.52 0.38 0.39 0.52 0.50 0.30 0.80 0.54 0.45 0.58 0.28 0.50 0.47 0.43 0.23 0.43 0.92 0.51 0.44 0.51 0.58 0.18 0.53 0.47 1.00 0.70 0.57 0.60 0.27 0.78 0.35 0.88 0.29 0.20 0.34 0.29 0.50 0.85 0.54 0.56 0.60 0.64 0.78 0.55 0.91 0.41 0.68 0.82 0.52 0.56 ]
    [ 0.09 0.48 0.16 0.53 0.48 0.65 0.54 0.26 0.91 0.69 0.40 0.24 0.86 0.40 0.56 0.27 0.32 0.32 0.68 0.28 0.09 0.53 0.65 0.49 0.70 1.00 0.04 0.24 0.67 0.28 0.62 0.01 0.08 0.89 0.38 0.78 0.24 0.42 0.40 0.59 0.36 0.72 0.14 0.27 0.91 0.48 0.58 0.18 0.34 0.48 ]
    [ 0.49 0.42 0.65 0.48 0.86 0.34 0.50 0.53 0.73 0.44 0.76 0.52 0.03 0.80 0.51 0.71 0.70 0.52 0.23 0.32 0.65 0.47 0.49 0.44 0.57 0.04 1.00 0.72 0.78 0.54 0.89 0.68 0.52 0.75 0.47 0.40 0.90 0.37 0.89 0.69 0.35 0.65 0.81 0.34 0.35 0.23 0.29 0.65 0.21 0.52 ]
    [ 0.07 0.33 0.12 0.19 0.40 0.51 0.54 0.95 0.59 0.74 0.61 0.89 0.18 0.78 0.93 0.33 0.34 0.83 0.41 0.49 0.21 0.24 0.30 0.52 0.60 0.24 0.72 1.00 0.54 0.53 0.83 0.64 0.20 0.53 0.54 0.33 0.14 0.55 0.28 0.76 0.71 0.33 0.80 0.79 0.21 0.40 0.12 0.27 0.69 0.74 ]
    [ 0.34 0.46 0.57 0.53 0.22 0.54 0.56 0.40 0.59 0.19 0.70 0.51 0.63 0.09 0.47 0.35 0.74 0.18 0.40 0.68 0.61 0.41 0.29 0.28 0.27 0.67 0.78 0.54 1.00 0.70 0.42 0.39 0.38 0.08 0.35 0.45 0.84 0.46 0.46 0.45 0.67 0.42 0.81 0.45 0.23 0.68 0.72 0.75 0.35 0.52 ]
    [ 0.59 0.34 0.74 0.41 0.45 0.31 0.45 0.39 0.64 0.60 0.60 0.54 0.37 0.74 0.53 0.72 0.17 0.14 0.32 0.53 0.70 0.30 0.46 0.53 0.78 0.28 0.54 0.53 0.70 1.00 0.79 0.70 0.12 0.85 0.36 0.25 0.78 0.72 0.31 0.22 0.46 0.23 0.67 0.45 0.71 0.47 0.56 0.34 0.92 0.46 ]
    [ 0.61 0.76 0.69 0.25 0.63 0.51 0.58 0.25 0.24 0.48 0.35 0.41 0.46 0.10 0.17 0.73 0.89 0.68 0.69 0.80 0.44 0.51 0.59 0.43 0.35 0.62 0.89 0.83 0.42 0.79 1.00 0.27 0.40 0.48 0.72 0.40 0.38 0.80 0.40 0.79 0.60 0.56 0.23 0.44 0.65 0.61 0.39 0.78 0.19 0.59 ]
    [ 0.74 0.48 0.35 0.42 0.18 0.54 0.87 0.42 0.28 0.55 0.45 0.41 0.55 0.33 0.36 0.46 0.74 0.56 0.45 0.62 0.71 0.57 0.53 0.54 0.88 0.01 0.68 0.64 0.39 0.70 0.27 1.00 0.65 0.53 0.45 0.75 0.61 0.41 0.64 0.71 0.57 0.54 0.71 0.20 0.46 0.34 0.46 0.36 0.47 0.59 ]
    [ 0.62 0.34 0.52 0.32 0.48 0.28 0.53 0.50 0.42 0.35 0.32 0.32 0.42 0.21 0.41 0.53 0.39 0.42 0.41 0.36 0.68 0.41 0.45 0.71 0.29 0.08 0.52 0.20 0.38 0.12 0.40 0.65 1.00 0.46 0.61 0.19 0.42 0.70 0.49 0.55 0.33 0.13 0.40 0.38 0.80 0.47 0.61 0.54 0.24 0.52 ]
    [ 0.62 0.21 0.45 0.77 0.54 0.26 0.07 0.60 0.48 0.58 0.23 0.41 0.16 0.89 0.52 0.61 0.52 0.40 0.35 0.62 0.27 0.37 0.76 0.54 0.20 0.89 0.75 0.53 0.08 0.85 0.48 0.53 0.46 1.00 0.51 0.47 0.32 0.49 0.49 0.50 0.60 0.48 0.77 0.65 0.82 0.43 0.44 0.62 0.49 0.29 ]
    [ 0.50 0.55 0.57 0.44 0.77 0.36 0.71 0.79 0.40 0.54 0.76 0.72 0.71 0.24 0.79 0.43 0.46 0.10 0.54 0.58 0.48 0.32 0.33 0.65 0.34 0.38 0.47 0.54 0.35 0.36 0.72 0.45 0.61 0.51 1.00 0.50 0.39 0.32 0.10 0.41 0.51 0.57 0.83 0.44 0.52 0.88 0.20 0.17 0.44 0.62 ]
    [ 0.54 0.49 0.78 0.85 0.39 0.09 0.19 0.42 0.19 0.34 0.70 0.45 0.28 0.47 0.57 0.28 0.33 0.18 0.36 0.65 0.10 0.59 0.66 0.83 0.29 0.78 0.40 0.33 0.45 0.25 0.40 0.75 0.19 0.47 0.50 1.00 0.63 0.32 0.60 0.32 0.56 0.54 0.42 0.14 0.59 0.41 0.71 0.14 0.70 0.40 ]
    [ 0.59 0.37 0.17 0.34 0.17 0.83 0.53 0.79 0.51 0.39 0.55 0.80 0.67 0.20 0.24 0.72 0.63 0.24 0.14 0.70 0.32 0.49 0.63 0.59 0.50 0.24 0.90 0.14 0.84 0.78 0.38 0.61 0.42 0.32 0.39 0.63 1.00 0.60 0.25 0.60 0.61 0.34 0.54 0.84 0.41 0.15 0.53 0.24 0.86 0.50 ]
    [ 0.44 0.26 0.54 0.74 0.36 0.07 0.43 0.51 0.34 0.69 0.40 0.68 0.71 0.62 0.40 0.28 0.38 0.39 0.40 0.48 0.46 0.22 0.36 0.85 0.85 0.42 0.37 0.55 0.46 0.72 0.80 0.41 0.70 0.49 0.32 0.32 0.60 1.00 0.58 0.12 0.43 0.23 0.35 0.32 0.67 0.59 0.49 0.25 0.47 0.74 ]
    [ 0.77 0.55 0.34 0.51 0.80 0.72 0.84 0.40 0.61 0.68 0.46 0.54 0.42 0.23 0.48 0.82 0.21 0.73 0.35 0.49 0.44 0.21 0.46 0.44 0.54 0.40 0.89 0.28 0.46 0.31 0.40 0.64 0.49 0.49 0.10 0.60 0.25 0.58 1.00 0.51 0.14 0.42 0.64 0.51 0.41 0.85 0.27 0.83 0.56 0.63 ]
    [ 0.64 0.38 0.40 0.33 0.68 0.27 0.52 0.33 0.42 0.84 0.26 0.78 0.62 0.68 0.56 0.43 0.23 0.73 0.42 0.34 0.26 0.71 0.18 0.39 0.56 0.59 0.69 0.76 0.45 0.22 0.79 0.71 0.55 0.50 0.41 0.32 0.60 0.12 0.51 1.00 0.44 0.46 0.30 0.42 0.46 0.52 0.53 0.55 0.32 0.16 ]
    [ 0.90 0.43 0.54 0.90 0.88 0.60 0.36 0.54 0.40 0.54 0.21 0.24 0.27 0.30 0.40 0.72 0.56 0.57 0.51 0.30 0.55 0.64 0.54 0.77 0.60 0.36 0.35 0.71 0.67 0.46 0.60 0.57 0.33 0.60 0.51 0.56 0.61 0.43 0.14 0.44 1.00 0.24 0.33 0.30 0.47 0.12 0.76 0.33 0.31 0.46 ]
    [ 0.23 0.61 0.47 0.63 0.34 0.49 0.75 0.47 0.46 0.49 0.48 0.18 0.38 0.53 0.30 0.49 0.53 0.57 0.55 0.63 0.16 0.55 0.51 0.44 0.64 0.72 0.65 0.33 0.42 0.23 0.56 0.54 0.13 0.48 0.57 0.54 0.34 0.23 0.42 0.46 0.24 1.00 0.71 0.58 0.22 0.61 0.47 0.43 0.69 0.69 ]
    [ 0.39 0.52 0.60 0.49 0.30 0.57 0.14 0.32 0.81 0.32 0.68 0.44 0.66 0.48 0.38 0.93 0.53 0.46 0.61 0.41 0.21 0.44 0.69 0.41 0.78 0.14 0.81 0.80 0.81 0.67 0.23 0.71 0.40 0.77 0.83 0.42 0.54 0.35 0.64 0.30 0.33 0.71 1.00 0.38 0.36 0.66 0.51 0.85 0.63 0.48 ]
    [ 0.82 0.51 0.41 0.54 0.76 0.17 0.46 0.94 0.85 0.23 0.47 0.26 0.77 0.42 0.49 0.81 0.47 0.45 0.20 0.80 0.61 0.46 0.42 0.13 0.55 0.27 0.34 0.79 0.45 0.45 0.44 0.20 0.38 0.65 0.44 0.14 0.84 0.32 0.51 0.42 0.30 0.58 0.38 1.00 0.26 0.50 0.76 0.38 0.70 0.54 ]
    [ 0.80 0.55 0.61 0.30 0.53 0.68 0.53 0.04 0.42 0.23 0.58 0.89 0.43 0.31 0.69 0.16 0.65 0.36 0.73 0.74 0.44 0.41 0.45 0.32 0.91 0.91 0.35 0.21 0.23 0.71 0.65 0.46 0.80 0.82 0.52 0.59 0.41 0.67 0.41 0.46 0.47 0.22 0.36 0.26 1.00 0.20 0.29 0.64 0.32 0.59 ]
    [ 0.49 0.49 0.52 0.38 0.47 0.76 0.56 0.69 0.35 0.51 0.56 0.11 0.44 0.67 0.35 0.72 0.53 0.39 0.71 0.78 0.08 0.56 0.18 0.71 0.41 0.48 0.23 0.40 0.68 0.47 0.61 0.34 0.47 0.43 0.88 0.41 0.15 0.59 0.85 0.52 0.12 0.61 0.66 0.50 0.20 1.00 0.26 0.85 0.71 0.32 ]
    [ 0.36 0.41 0.15 0.56 0.61 0.80 0.11 0.32 0.11 0.25 0.44 0.52 0.29 0.77 0.79 0.56 0.77 0.67 0.68 0.72 0.56 0.16 0.24 0.35 0.68 0.58 0.29 0.12 0.72 0.56 0.39 0.46 0.61 0.44 0.20 0.71 0.53 0.49 0.27 0.53 0.76 0.47 0.51 0.76 0.29 0.26 1.00 0.80 0.48 0.22 ]
    [ 0.64 0.39 0.23 0.58 0.14 0.41 0.56 0.30 0.51 0.60 0.33 0.63 0.20 0.50 0.41 0.58 0.62 0.74 0.22 0.62 0.10 0.85 0.29 0.85 0.82 0.18 0.65 0.27 0.75 0.34 0.78 0.36 0.54 0.62 0.17 0.14 0.24 0.25 0.83 0.55 0.33 0.43 0.85 0.38 0.64 0.85 0.80 1.00 0.71 0.78 ]
    [ 0.76 0.47 0.11 0.49 0.59 0.49 0.46 0.75 0.26 0.50 0.77 0.07 0.38 0.15 0.59 0.70 0.75 0.87 0.21 0.46 0.69 0.45 0.36 0.40 0.52 0.34 0.21 0.69 0.35 0.92 0.19 0.47 0.24 0.49 0.44 0.70 0.86 0.47 0.56 0.32 0.31 0.69 0.63 0.70 0.32 0.71 0.48 0.71 1.00 0.28 ]
    [ 0.48 0.33 0.78 0.48 0.20 0.59 0.43 0.43 0.58 0.21 0.92 0.66 0.65 0.79 0.58 0.61 0.58 0.45 0.43 0.35 0.70 0.88 0.39 0.79 0.56 0.48 0.52 0.74 0.52 0.46 0.59 0.59 0.52 0.29 0.62 0.40 0.50 0.74 0.63 0.16 0.46 0.69 0.48 0.54 0.59 0.32 0.22 0.78 0.28 1.00 ]
];
